"Directory","Band","Role","ForwardPhaseAttempts","ForwardPhaseSuccess","ReversePhaseAttempts","ReversePhaseSuccess","ReversePhaseSingleUser"
"performance-matrix-20260917-014517","1","5GHz-Link1","123","114","4","4","391"
"performance-matrix-20260917-014517","2","6GHz-Link2","58279","55574","789515","776690","777111"


